"lake_name","x_null","y_null","elev","area","depth","LID","region","geomorphic_type","max_depth","depth_measurement","data_quality","area_ha"
"Rotoehu",796.5248,-22.7,302.77,7965244,-0.2,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,302.57,7965244,-0.4,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,302.37,7965244,-0.6,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,302.17,7965244,-0.8,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,301.97,7965244,-1,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,301.77,7965244,-1.2,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,301.57,7965244,-1.4,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,301.37,7965244,-1.6,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,301.17,7965244,-1.8,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,300.97,7965244,-2,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,300.77,7965244,-2.2,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,300.57,7965244,-2.4,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,300.37,7965244,-2.6,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,300.17,7965244,-2.8,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,299.97,7965244,-3,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5244
"Rotoehu",796.5248,-22.7,299.77,7965243.98,-3.2,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.524398
"Rotoehu",796.5248,-22.7,299.57,7965242.38,-3.4,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.524238
"Rotoehu",796.5248,-22.7,299.37,7965240.78,-3.6,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.524078
"Rotoehu",796.5248,-22.7,299.17,7965239.18,-3.8,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.523918
"Rotoehu",796.5248,-22.7,298.97,7965237.58,-4,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.523758
"Rotoehu",796.5248,-22.7,298.77,7965235.97,-4.2,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.523597
"Rotoehu",796.5248,-22.7,298.57,7965232.77,-4.4,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.523277
"Rotoehu",796.5248,-22.7,298.37,7965229.57,-4.6,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.522957
"Rotoehu",796.5248,-22.7,298.17,7965228,-4.8,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5228
"Rotoehu",796.5248,-22.7,297.97,7965228,-5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.5228
"Rotoehu",796.5248,-22.7,297.47,7965215.92,-5.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.521592
"Rotoehu",796.5248,-22.7,296.97,7965205.58,-6,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.520558
"Rotoehu",796.5248,-22.7,296.47,7965172.59,-6.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.517259
"Rotoehu",796.5248,-22.7,295.97,7965079.52,-7,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.507952
"Rotoehu",796.5248,-22.7,295.47,7964807.31,-7.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.480731
"Rotoehu",796.5248,-22.7,294.97,7963118.59,-8,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",796.311859
"Rotoehu",796.5248,-22.7,294.47,7941337.65,-8.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",794.133765
"Rotoehu",796.5248,-22.7,293.97,7813539.84,-9,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",781.353984
"Rotoehu",796.5248,-22.7,293.47,7638899.2,-9.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",763.88992
"Rotoehu",796.5248,-22.7,292.97,7440145.79,-10,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",744.014579
"Rotoehu",796.5248,-22.7,292.47,7236395.18,-10.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",723.639518
"Rotoehu",796.5248,-22.7,291.97,7041266.46,-11,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",704.126646
"Rotoehu",796.5248,-22.7,291.47,6821499.06,-11.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",682.149906
"Rotoehu",796.5248,-22.7,290.97,6536163.82,-12,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",653.616382
"Rotoehu",796.5248,-22.7,290.47,6236342.35,-12.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",623.634235
"Rotoehu",796.5248,-22.7,289.97,5992834.43,-13,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",599.283443
"Rotoehu",796.5248,-22.7,289.47,5788759.28,-13.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",578.875928
"Rotoehu",796.5248,-22.7,288.97,5582072.32,-14,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",558.207232
"Rotoehu",796.5248,-22.7,288.47,5390903.57,-14.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",539.090357
"Rotoehu",796.5248,-22.7,287.97,5238276.37,-15,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",523.827637
"Rotoehu",796.5248,-22.7,287.47,5107400.59,-15.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",510.740059
"Rotoehu",796.5248,-22.7,286.97,4977205.38,-16,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",497.720538
"Rotoehu",796.5248,-22.7,286.47,4844466.18,-16.5,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",484.446618
"Rotoehu",796.5248,-22.7,285.97,4703838.43,-17,"LID40188","Bay of Plenty","Volcanic",22.7,"Measured","Seasonal but Detailed",470.383843
