time,flow,temp,salt
1981-06-08,1.22388,9.93223,0
1981-06-09,0.45588,8.98756,0
1981-06-10,0.00411,8.09298,0
1981-06-11,1.29371,8.31407,0
1981-06-12,32.80872,9.00534,0
1981-06-13,12.1649,9.97895,0
1981-06-14,21.93755,10.7206,0
1981-06-15,23.2127,10.819,0
1981-06-16,23.54748,10.21683,0
1981-06-17,0.38811,8.87393,0
1981-06-18,0.39633,7.72971,0
1981-06-19,0.08419,7.25384,0
1981-06-20,0,6.75737,0
1981-06-21,0.10062,6.0699,0
1981-06-22,0.10268,5.50148,0
1981-06-23,0.00205,5.60163,0
1981-06-24,0,5.60022,0
1981-06-25,0.13348,6.27099,0
1981-06-26,39.31837,8.21857,0
1981-06-27,28.82287,10.24948,0
1981-06-28,8.51792,10.69093,0
1981-06-29,2.03707,9.5327,0
1981-06-30,0.36646,8.32082,0
1981-07-01,5.16388,7.97823,0
1981-07-02,25.44038,8.40336,0
1981-07-03,6.28452,8.55963,0
1981-07-04,8.64438,8.89084,0
1981-07-05,17.51329,9.24037,0
1981-07-06,2.09743,9.52286,0
1981-07-07,12.39316,8.99239,0
1981-07-08,7.27881,8.07434,0
1981-07-09,8.63952,6.90282,0
1981-07-10,9.16436,6.26592,0
1981-07-11,1.49192,5.65148,0
1981-07-12,0.00097,5.47389,0
1981-07-13,0,4.92011,0
1981-07-14,0.14482,4.73173,0
1981-07-15,0.02333,4.93776,0
1981-07-16,0.0486,5.87942,0
1981-07-17,8.96609,6.01358,0
1981-07-18,20.06463,6.12297,0
1981-07-19,1.17604,5.48255,0
1981-07-20,0.00292,5.8689,0
1981-07-21,0.00292,6.1257,0
1981-07-22,0.00194,6.31882,0
1981-07-23,0.36836,6.65587,0
1981-07-24,2.72628,7.58847,0
1981-07-25,5.26204,8.93116,0
1981-07-26,1.2499,8.96371,0
1981-07-27,16.90872,8.54098,0
1981-07-28,0.99818,8.26481,0
1981-07-29,20.08601,8.78176,0
1981-07-30,14.7238,8.83156,0
1981-07-31,5.89109,8.28779,0
1981-08-01,5.37905,7.01576,0
1981-08-02,1.82698,6.08154,0
1981-08-03,1.60313,5.15464,0
1981-08-04,0.1575,5.08496,0
1981-08-05,1.61318,5.664,0
1981-08-06,11.24133,7.31859,0
1981-08-07,21.17576,8.7737,0
1981-08-08,18.7597,8.92975,0
1981-08-09,2.01597,8.55461,0
1981-08-10,10.49205,8.10538,0
1981-08-11,4.12443,7.78925,0
1981-08-12,0.01072,6.96085,0
1981-08-13,0.19704,6.43865,0
1981-08-14,9.82119,6.87934,0
1981-08-15,2.90064,7.4608,0
1981-08-16,0.03351,7.47135,0
1981-08-17,7.25361,7.32604,0
1981-08-18,13.9791,7.83308,0
1981-08-19,6.19268,8.12646,0
1981-08-20,0.95839,8.10524,0
1981-08-21,11.01811,6.9893,0
1981-08-22,21.96854,6.99897,0
1981-08-23,28.58219,7.4976,0
1981-08-24,6.44535,8.33117,0
1981-08-25,0.80223,8.12395,0
1981-08-26,1.79681,7.08209,0
1981-08-27,1.39335,6.07026,0
1981-08-28,0.86724,5.29948,0
1981-08-29,0.81631,5.21801,0
1981-08-30,16.04265,5.86132,0
1981-08-31,28.99735,6.81593,0
1981-09-01,16.73732,7.38476,0
1981-09-02,3.88569,7.53321,0
1981-09-03,0.93807,7.37509,0
1981-09-04,3.90572,7.32932,0
1981-09-05,2.63615,6.57807,0
1981-09-06,0.87601,6.86215,0
1981-09-07,0.77466,7.50609,0
1981-09-08,0.36819,8.71239,0
1981-09-09,5.11646,8.93357,0
1981-09-10,0.70226,8.31379,0
1981-09-11,0.19547,8.4121,0
1981-09-12,7.05568,8.54736,0
1981-09-13,5.66047,8.54212,0
1981-09-14,4.2601,7.64942,0
1981-09-15,1.05184,7.16581,0
1981-09-16,0.82223,7.12841,0
1981-09-17,0.00207,7.65071,0
1981-09-18,0.00103,7.88527,0
1981-09-19,1.83683,9.16792,0
1981-09-20,1.67239,9.26189,0
1981-09-21,0.06826,9.00379,0
1981-09-22,0.31752,8.24842,0
1981-09-23,4.1153,9.32685,0
1981-09-24,7.53765,10.42666,0
1981-09-25,1.66308,10.73504,0
1981-09-26,2.64976,9.80985,0
1981-09-27,19.70978,9.18579,0
1981-09-28,16.05059,8.93382,0
1981-09-29,0.49437,9.28157,0
1981-09-30,0.13242,9.51435,0
1981-10-01,0.8669,10.15837,0
1981-10-02,1.39351,11.30041,0
1981-10-03,0.06929,11.9647,0
1981-10-04,1.70455,12.4424,0
1981-10-05,15.43023,11.69453,0
1981-10-06,0.97931,11.35253,0
1981-10-07,0.00308,10.30619,0
1981-10-08,0.19709,10.29932,0
1981-10-09,0.06159,9.8813,0
1981-10-10,0.32952,9.9387,0
1981-10-11,0.49889,10.05293,0
1981-10-12,10.56608,10.02568,0
1981-10-13,6.52409,10.46979,0
1981-10-14,1.18718,10.11473,0
1981-10-15,0.28178,10.50283,0
1981-10-16,15.18237,10.49957,0
1981-10-17,25.60207,9.99185,0
1981-10-18,1.69685,9.89292,0
1981-10-19,0.60206,9.67718,0
1981-10-20,1.46896,10.47467,0
1981-10-21,0.64671,10.85307,0
1981-10-22,1.8693,12.03983,0
1981-10-23,16.14469,12.72267,0
1981-10-24,17.23182,13.20093,0
1981-10-25,7.25241,12.4888,0
1981-10-26,0.01232,11.5553,0
1981-10-27,0.01232,9.67587,0
1981-10-28,0.00154,8.41997,0
1981-10-29,0.00154,8.60311,0
1981-10-30,1.34886,10.79934,0
1981-10-31,2.27427,12.2144,0
1981-11-01,0.31737,12.00393,0
1981-11-02,0.35686,11.4328,0
1981-11-03,0.01316,11.72843,0
1981-11-04,0.01609,12.31447,0
1981-11-05,1.60735,12.6628,0
1981-11-06,11.83349,12.828,0
1981-11-07,63.46006,13.629,0
1981-11-08,8.81625,13.83123,0
1981-11-09,7.3888,13.4322,0
1981-11-10,7.11238,12.84617,0
1981-11-11,0.54992,12.44247,0
1981-11-12,2.11631,12.7514,0
1981-11-13,11.12127,13.3672,0
1981-11-14,49.86709,13.73327,0
1981-11-15,34.37869,14.19553,0
1981-11-16,0.92287,13.38017,0
1981-11-17,0.56162,12.88503,0
1981-11-18,0.33492,12.3039,0
1981-11-19,0.38026,12.364,0
1981-11-20,0.69471,12.2945,0
1981-11-21,7.3537,11.98957,0
1981-11-22,4.21361,12.11293,0
1981-11-23,0.16966,11.9218,0
1981-11-24,0.23693,12.13067,0
1981-11-25,0.90532,12.39323,0
1981-11-26,0.3671,12.9693,0
1981-11-27,1.9642,12.92903,0
1981-11-28,5.20961,13.0721,0
1981-11-29,3.52328,13.86737,0
1981-11-30,13.965,14.9731,0
1981-12-01,17.98652,15.73973,0
1981-12-02,3.55655,15.31807,0
1981-12-03,0.1812,15.04463,0
1981-12-04,1.60332,14.62403,0
1981-12-05,2.64305,15.49647,0
1981-12-06,7.88666,15.9375,0
1981-12-07,30.14573,15.96507,0
1981-12-08,11.61821,14.916,0
1981-12-09,16.84682,13.82557,0
1981-12-10,7.23683,13.51157,0
1981-12-11,0.005,13.72307,0
1981-12-12,0.0125,14.53653,0
1981-12-13,0.00125,15.19007,0
1981-12-14,0.16371,16.20227,0
1981-12-15,2.0782,16.5484,0
1981-12-16,2.83675,16.7225,0
1981-12-17,4.85996,16.63743,0
1981-12-18,5.0849,16.15607,0
1981-12-19,0.51611,15.76627,0
1981-12-20,0.1737,15.45247,0
1981-12-21,11.97436,16.18733,0
1981-12-22,14.95225,16.87787,0
1981-12-23,5.43855,17.4047,0
1981-12-24,3.3891,17.9309,0
1981-12-25,7.39804,18.16647,0
1981-12-26,4.18889,18.11103,0
1981-12-27,1.00224,17.65933,0
1981-12-28,0.1762,17.0255,0
1981-12-29,1.90574,16.47993,0
1981-12-30,3.36536,16.34413,0
1981-12-31,15.69424,16.73327,0
1982-01-01,8.81009,17.43963,0
1982-01-02,9.97672,17.33673,0
1982-01-03,13.58224,17.22763,0
1982-01-04,0.56572,16.809,0
1982-01-05,13.19752,16.62757,0
1982-01-06,14.85198,15.44173,0
1982-01-07,1.52366,14.4814,0
1982-01-08,0.32183,13.98007,0
